m_a_eV,dipole_cann1_D_0.15mm_GeVinv,dipole_cann1_D_1mm_GeVinv
2.700420718837769874e-05,5.712473485039993497e-10,5.816563559632375613e-11
2.731721598441373358e-05,5.657959385024212013e-10,5.766834349715209129e-11
2.763385290053166867e-05,5.604076634558291292e-10,5.717709520283847032e-11
2.795415999067853594e-05,5.550818040866748201e-10,5.669182566045000440e-11
2.827817979625338199e-05,5.498176493233759217e-10,5.621247061490941055e-11
2.860595535175739117e-05,5.446144962040420419e-10,5.573896660053289575e-11
2.893753019050947418e-05,5.394716497812685355e-10,5.527125093267439847e-11
2.927294835042812854e-05,5.343884230279437928e-10,5.480926169947536032e-11
2.961225437988031288e-05,5.293641367440890577e-10,5.435293775371814732e-11
2.995549334359810082e-05,5.243981194646900346e-10,5.390221870478335987e-11
3.030271082866393438e-05,5.194897073685321753e-10,5.345704491070869211e-11
3.065395295056523920e-05,5.146382441880149354e-10,5.301735747034948916e-11
3.100926635931923166e-05,5.098430811199193545e-10,5.258309821563918006e-11
3.136869824566873116e-05,5.051035767371594663e-10,5.215420970394902406e-11
3.173229634734972955e-05,5.004190969014541524e-10,5.173063521054629133e-11
3.210010895543168686e-05,4.957890146769388810e-10,5.131231872114961812e-11
3.247218492073125124e-05,4.912127102447098843e-10,5.089920492458097391e-11
3.284857366030040257e-05,4.866895708182565218e-10,5.049123920551310989e-11
3.322932516398968385e-05,4.822189905598158457e-10,5.008836763731179057e-11
3.361449000108761818e-05,4.778003704975952934e-10,4.969053697497152275e-11
3.400411932703702948e-05,4.734331184438823232e-10,4.929769464814482695e-11
3.439826489022920894e-05,4.691166489140201093e-10,4.890978875426310615e-11
3.479697903887688269e-05,4.648503830462351803e-10,4.852676805174924760e-11
3.520031472796675308e-05,4.606337485223074380e-10,4.814858195332056826e-11
3.560832552629274530e-05,4.564661794890838491e-10,4.777518051938159329e-11
3.602106562357066397e-05,4.523471164808026696e-10,4.740651445150596981e-11
3.643858983763540501e-05,4.482760063422483147e-10,4.704253508600652701e-11
3.686095362172154264e-05,4.442523021527022343e-10,4.668319438759299807e-11
3.728821307182830118e-05,4.402754631506832806e-10,4.632844494311666710e-11
3.772042493416993489e-05,4.363449546594857369e-10,4.597823995540112686e-11
3.815764661271244413e-05,4.324602480134870373e-10,4.563253323715874669e-11
3.859993617679763090e-05,4.286208204852236793e-10,4.529127920499184233e-11
3.904735236885555739e-05,4.248261552132270043e-10,4.495443287347841214e-11
3.949995461220639028e-05,4.210757411306032870e-10,4.462194984934139260e-11
3.995780301895265397e-05,4.173690728943645931e-10,4.429378632570110375e-11
4.042095839796309883e-05,4.137056508154840411e-10,4.396989907641028332e-11
4.088948226294864539e-05,4.100849807896809479e-10,4.365024545047149651e-11
4.136343684063277602e-05,4.065065742289165736e-10,4.333478336653538969e-11
4.184288507901584570e-05,4.029699479936059984e-10,4.302347130748078981e-11
4.232789065573552758e-05,3.994746243255273125e-10,4.271626831507503378e-11
4.281851798652415236e-05,3.960201307814242417e-10,4.241313398471459260e-11
4.331483223376403243e-05,3.926060001672980736e-10,4.211402846024557009e-11
4.381689931514194311e-05,3.892317704733760617e-10,4.181891242886341709e-11
4.432478591240400772e-05,3.858969848097566706e-10,4.152774711609201624e-11
4.483855948021190816e-05,3.826011913427179092e-10,4.124049428084126489e-11
4.535828825510191179e-05,3.793439432316893736e-10,4.095711621054327246e-11
4.588404126454761567e-05,3.761247985668755913e-10,4.067757571636673936e-11
4.641588833612781789e-05,3.729433203075275124e-10,4.040183612850927176e-11
4.695390010680062706e-05,3.697990762208611155e-10,4.012986129156743201e-11
4.749814803228504342e-05,3.666916388216073584e-10,3.986161555998447934e-11
4.804870439655133953e-05,3.636205853121980760e-10,3.959706379357560068e-11
4.860564232142138599e-05,3.605854975235810008e-10,3.933617135313033413e-11
4.916903577628031102e-05,3.575859618566526871e-10,3.907890409609259242e-11
4.973895958790067998e-05,3.546215692243129064e-10,3.882522837231765282e-11
5.031548945038056354e-05,3.516919149941343618e-10,3.857511101990672766e-11
5.089870193519684978e-05,3.487965989316419313e-10,3.832851936111872104e-11
5.148867450137497919e-05,3.459352251441963728e-10,3.808542119835949504e-11
5.208548550577665455e-05,3.431074020254889028e-10,3.784578481024870989e-11
5.268921421350677227e-05,3.403127422006279838e-10,3.760957894776439331e-11
5.329994080844093065e-05,3.375508624718327461e-10,3.737677283046564608e-11
5.391774640387505315e-05,3.348213837647153098e-10,3.714733614279339987e-11
5.454271305329835997e-05,3.321239310751631754e-10,3.692123903044992525e-11
5.517492376129128718e-05,3.294581334168091701e-10,3.669845209685723207e-11
5.581446249454966800e-05,3.268236237690941737e-10,3.647894639969495667e-11
5.646141419303672785e-05,3.242200390259182789e-10,3.626269344751789757e-11
5.711586478126435033e-05,3.216470199448849889e-10,3.604966519645411084e-11
5.777790117970507076e-05,3.191042110971278024e-10,3.583983404698408200e-11
5.844761131633637632e-05,3.165912608177290588e-10,3.563317284080129776e-11
5.912508413831881707e-05,3.141078211567258757e-10,3.542965485775521908e-11
5.981040962380943893e-05,3.116535478307072616e-10,3.522925381287769614e-11
6.050367879391225302e-05,3.092281001749971832e-10,3.503194385349281221e-11
6.120498372476702897e-05,3.068311410964336154e-10,3.483769955641207573e-11
6.191441755977847869e-05,3.044623370267383028e-10,3.464649592521521268e-11
6.263207452198692193e-05,3.021213578764776440e-10,3.445830838761794220e-11
6.335804992658254750e-05,2.998078769896299005e-10,3.427311279292778222e-11
6.409244019356456464e-05,2.975215710987432698e-10,3.409088540958904856e-11
6.483534286054727050e-05,2.952621202807001276e-10,3.391160292281842371e-11
6.558685659571435525e-05,2.930292079130881622e-10,3.373524243233236213e-11
6.634708121092350460e-05,2.908225206311810883e-10,3.356178145016785064e-11
6.711611767496287204e-05,2.886417482855323032e-10,3.339119789859805541e-11
6.789406812696112826e-05,2.864865839001866519e-10,3.322347010814436140e-11
6.868103588995308007e-05,2.843567236315183179e-10,3.305857681568672993e-11
6.947712548460240371e-05,2.822518667276916315e-10,3.289649716267401591e-11
7.028244264308352554e-05,2.801717154887611861e-10,3.273721069343622209e-11
7.109709432312438478e-05,2.781159752274071770e-10,3.258069735360070669e-11
7.192118872221193494e-05,2.760843542303183192e-10,3.242693748861442526e-11
7.275483529196232206e-05,2.740765637202256021e-10,3.227591184237445559e-11
7.359814475265770482e-05,2.720923178185944267e-10,3.212760155596913223e-11
7.445122910795143767e-05,2.701313335089841761e-10,3.198198816653222687e-11
7.531420165974375832e-05,2.681933306010779037e-10,3.183905360621268841e-11
7.618717702322998534e-05,2.662780316953924310e-10,3.169878020126268280e-11
